id,createdAt,updatedAt,handle,name,slug,city,abbreviation,wins,losses,winPercentage,conference,division,established,colorSchemeId,logoId
1610612737,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1610612737,Hawks,hawks,Atlanta,ATL,41,31,0.569,East,Southeast,1949,27,nba/teams/1610612737
1610612738,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1610612738,Celtics,celtics,Boston,BOS,36,36,0.5,East,Atlantic,1946,28,nba/teams/1610612738
1610612751,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1610612751,Nets,nets,Brooklyn,BKN,48,24,0.667,East,Atlantic,1976,26,nba/teams/1610612751
1610612766,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),1610612766,Hornets,hornets,Charlotte,CHA,33,39,0.458,East,Southeast,1988,30,nba/teams/1610612766
1610612741,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),1610612741,Bulls,bulls,Chicago,CHI,31,41,0.431,East,Central,1966,3,nba/teams/1610612741
1610612739,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:07 GMT-0400 (Eastern Daylight Time),1610612739,Cavaliers,cavaliers,Cleveland,CLE,22,50,0.306,East,Central,1970,29,nba/teams/1610612739
1610612742,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),1610612742,Mavericks,mavericks,Dallas,DAL,42,30,0.583,West,Southwest,1980,25,nba/teams/1610612742
1610612743,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),1610612743,Nuggets,nuggets,Denver,DEN,47,25,0.653,West,Northwest,1976,22,nba/teams/1610612743
1610612765,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),1610612765,Pistons,pistons,Detroit,DET,20,52,0.278,East,Central,1948,23,nba/teams/1610612765
1610612744,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1610612744,Warriors,warriors,Golden State,GSW,39,33,0.542,West,Pacific,1946,21,nba/teams/1610612744
1610612745,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1610612745,Rockets,rockets,Houston,HOU,17,55,0.236,West,Southwest,1967,24,nba/teams/1610612745
1610612754,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1610612754,Pacers,pacers,Indiana,IND,34,38,0.472,East,Central,1976,1,nba/teams/1610612754
1610612746,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),1610612746,Clippers,clippers,LA,LAC,47,25,0.653,West,Pacific,1970,18,nba/teams/1610612746
1610612747,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),1610612747,Lakers,lakers,Los Angeles,LAL,42,30,0.583,West,Pacific,1948,19,nba/teams/1610612747
1610612763,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),1610612763,Grizzlies,grizzlies,Memphis,MEM,38,34,0.528,West,Southwest,1995,12,nba/teams/1610612763
1610612748,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),1610612748,Heat,heat,Miami,MIA,40,32,0.556,East,Southeast,1988,9,nba/teams/1610612748
1610612749,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:15 GMT-0400 (Eastern Daylight Time),1610612749,Bucks,bucks,Milwaukee,MIL,46,26,0.639,East,Central,1968,13,nba/teams/1610612749
1610612750,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:15 GMT-0400 (Eastern Daylight Time),1610612750,Timberwolves,timberwolves,Minnesota,MIN,23,49,0.319,West,Northwest,1989,2,nba/teams/1610612750
1610612740,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:16 GMT-0400 (Eastern Daylight Time),1610612740,Pelicans,pelicans,New Orleans,NOP,31,41,0.431,West,Southwest,2002,17,nba/teams/1610612740
1610612752,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1610612752,Knicks,knicks,New York,NYK,41,31,0.569,East,Atlantic,1946,16,nba/teams/1610612752
1610612760,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1610612760,Thunder,thunder,Oklahoma City,OKC,22,50,0.306,West,Northwest,1967,14,nba/teams/1610612760
1610612753,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),1610612753,Magic,magic,Orlando,ORL,21,51,0.292,East,Southeast,1989,20,nba/teams/1610612753
1610612755,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),1610612755,76ers,sixers,Philadelphia,PHI,49,23,0.681,East,Atlantic,1949,15,nba/teams/1610612755
1610612756,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1610612756,Suns,suns,Phoenix,PHX,51,21,0.708,West,Pacific,1968,11,nba/teams/1610612756
1610612757,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1610612757,Trail Blazers,blazers,Portland,POR,42,30,0.583,West,Northwest,1970,10,nba/teams/1610612757
1610612758,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1610612758,Kings,kings,Sacramento,SAC,31,41,0.431,West,Pacific,1948,7,nba/teams/1610612758
1610612759,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:21 GMT-0400 (Eastern Daylight Time),1610612759,Spurs,spurs,San Antonio,SAS,33,39,0.458,West,Southwest,1976,6,nba/teams/1610612759
1610612761,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),1610612761,Raptors,raptors,Toronto,TOR,27,45,0.375,East,Atlantic,1995,4,nba/teams/1610612761
1610612762,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),1610612762,Jazz,jazz,Utah,UTA,52,20,0.722,West,Northwest,1974,8,nba/teams/1610612762
1610612764,Sat Oct 09 2021 05:58:55 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:23 GMT-0400 (Eastern Daylight Time),1610612764,Wizards,wizards,Washington,WAS,34,38,0.472,East,Southeast,1961,5,nba/teams/1610612764